"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
17957417604028755,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"今日のリールは人気の
プライオリティパスの最新カード情報を作ったよ✨ 年会費の改定も増えてきたね😭またアップデートがあればお知らせします😭",6,"01/19/2026 04:51",https://www.instagram.com/stories/ino_moneycoach/3813520306926189401,"IG story",,Lifetime,2837,2170,6,0,54,0,2339,,,1
18066685094629683,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,②,0,"01/18/2026 23:44",https://www.instagram.com/stories/ino_moneycoach/3813365986813442023,"IG story",,Lifetime,2906,2376,5,0,5,0,2619,27,,
18105450655781379,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,①,0,"01/18/2026 23:44",https://www.instagram.com/stories/ino_moneycoach/3813365988608578769,"IG story",,Lifetime,3166,2457,4,0,4,0,2866,6,,2
18117433996596124,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/18/2026 23:44",https://www.instagram.com/stories/ino_moneycoach/3813365986838591213,"IG story",,Lifetime,3521,2623,8,0,25,0,2980,,,
18051690137458925,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"たまには
去年修行したIHGホテルの
威力を発揮させるために
ラウンジ付きのホテルに
泊まっています🙇‍♀️ SFC修行中のいのとぴよたは石垣のANAインターコンチネンタルにも
泊まりました🫡 このホテルのラウンジも
良かったです🫡
普段ラウンジでの朝食は
食べないけれどここのラウンジは朝食が美味しい😋",0,"01/18/2026 18:53",https://www.instagram.com/stories/ino_moneycoach/3813219430424566695,"IG story",,Lifetime,3821,2871,17,0,19,0,3249,,,
18122557546490017,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/18/2026 16:07",https://www.instagram.com/stories/ino_moneycoach/3813135915313935454,"IG story",,Lifetime,4064,3240,9,0,48,2,3438,,,1
18091717610501546,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 19:56",https://www.instagram.com/stories/ino_moneycoach/3812526464185849588,"IG story",,Lifetime,3177,2369,4,0,11,1,2901,,,
18089699702068147,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 19:56",https://www.instagram.com/stories/ino_moneycoach/3812526454949947093,"IG story",,Lifetime,3328,2434,2,0,5,0,2980,,,
18112769413617649,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 19:56",https://www.instagram.com/stories/ino_moneycoach/3812526453188372867,"IG story",,Lifetime,3411,2542,5,0,8,0,2887,,,
18202491724323009,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"Vポイントなら
その他のマイルにも
できる✨ このルートに必要な👆みずほマイレージクラブカードは1/21までの発行必須 話は変わりますが
今日もいのとぴよたはSFC修行です🧘‍♀️ぴよたは喉が痛い😭",0,"01/17/2026 16:29",https://www.instagram.com/stories/ino_moneycoach/3812422477583361556,"IG story",,Lifetime,2833,2141,7,0,1,0,2498,13,,
18091495138966773,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 16:29",https://www.instagram.com/stories/ino_moneycoach/3812422474857077751,"IG story",,Lifetime,2747,2164,1,0,1,0,2547,,,
18089306762008921,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 16:29",https://www.instagram.com/stories/ino_moneycoach/3812422475846953706,"IG story",,Lifetime,2831,2213,5,0,3,0,2635,,,
17913863070270195,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 16:29",https://www.instagram.com/stories/ino_moneycoach/3812422473523268697,"IG story",,Lifetime,2907,2294,4,0,7,0,2709,,,
17986187390936816,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 16:29",https://www.instagram.com/stories/ino_moneycoach/3812422474194408284,"IG story",,Lifetime,3070,2454,4,0,12,0,2717,16,,
17895991005242163,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"昨日のnoteを
読んでくださった皆様
ご購入くださった皆様
大変ありがとうございます🙇‍♀️

何か質問等ありましたら
いつでもご連絡ください🙇‍♀️ 皆様のフリーステイギフトの旅が特別なものに
なりますように😊",0,"01/17/2026 14:48",https://www.instagram.com/stories/ino_moneycoach/3812371192318508348,"IG story",,Lifetime,3235,2577,10,0,29,0,2808,,,1
17872245609414735,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"いのは今から羽田に帰ります😂 本日まだ修行中🧘‍♀️ アメックス持ってる人必見🥹今日の投稿はアメックスの
質問の多いシリーズ第三弾💪 ぜひチェックしてみてね😆",15,"01/17/2026 03:38",https://www.instagram.com/stories/ino_moneycoach/3812034173230827444,"IG story",,Lifetime,3513,2491,10,0,19,1,3063,,,
17856641526547215,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,7,"01/17/2026 03:08",https://www.instagram.com/stories/ino_moneycoach/3812019165507805839,"IG story",,Lifetime,3706,2689,10,1,9,2,3072,175,,1
17991884294913124,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/17/2026 03:08",https://www.instagram.com/stories/ino_moneycoach/3812019151314237562,"IG story",,Lifetime,3695,2888,4,0,17,2,3085,,,2
17998181579896763,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"また本日も✈️で
SFC修行です🧘‍♀️ ようやく👇ここまで貯まりました🫡 引き続き頑張ります🫡 今日の記事と
ニュースレターと
投稿

ちょっと遅くなるかも知れません🙇‍♀️",0,"01/16/2026 20:24",https://www.instagram.com/stories/ino_moneycoach/3811816037655136665,"IG story",,Lifetime,3930,3006,8,0,28,3,3406,,,2
18087509888025857,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,5,"01/16/2026 14:56",https://www.instagram.com/stories/ino_moneycoach/3811650567757080058,"IG story",,Lifetime,4032,3028,5,0,49,1,3274,,,1
18065061023242245,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,数字は変わるかもしれませんが,0,"01/16/2026 01:15",https://www.instagram.com/stories/ino_moneycoach/3811237461167862176,"IG story",,Lifetime,3276,2470,8,0,18,3,2808,,,
17977306832807804,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"HoteLuxについては
この投稿で解説しています🫡",15,"01/15/2026 20:18",https://www.instagram.com/stories/ino_moneycoach/3811087850780365301,"IG story",,Lifetime,3043,2193,8,0,13,0,2444,,,
17972464352829599,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"初年度クレカの年会費無料
キャンペーンやっています🥰",0,"01/15/2026 17:31",https://www.instagram.com/stories/ino_moneycoach/3811003841765339592,"IG story",,Lifetime,2832,2096,4,0,10,0,2240,15,,
17856500349545983,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,5,"01/15/2026 17:31",https://www.instagram.com/stories/ino_moneycoach/3811003813822870120,"IG story",,Lifetime,2698,2127,4,0,2,0,2228,,,
17973850517984541,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,5,"01/15/2026 17:31",https://www.instagram.com/stories/ino_moneycoach/3811003864758510663,"IG story",,Lifetime,2837,2196,4,0,2,0,2328,,,
18081513506466598,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,5,"01/15/2026 17:31",https://www.instagram.com/stories/ino_moneycoach/3811003843476645258,"IG story",,Lifetime,3026,2291,7,0,5,1,2395,,,
17902391658194065,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/15/2026 17:31",https://www.instagram.com/stories/ino_moneycoach/3811003842386131069,"IG story",,Lifetime,3223,2454,3,0,9,0,2571,,,
17903239842349778,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"今日のリールは
ハイステータスなカードってどんなのがある？ 気になるカードがあれば
ぜひ教えてね😊",6,"01/15/2026 04:25",https://www.instagram.com/stories/ino_moneycoach/3810608390570389741,"IG story",,Lifetime,3296,2556,3,0,27,0,2862,,,
18552762361021887,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"いのは間違えて自分の
便じゃないのに行ってしまった😅",0,"01/14/2026 18:53",https://www.instagram.com/stories/ino_moneycoach/3810320337624809637,"IG story",,Lifetime,5099,3678,14,0,15,1,3896,,,
18099197035852525,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"去年の7月の投稿です🫡
日本にいても外貨決済をする人は手数料取られるので
どんな支払いがお得か
チェックしてみてね🫡",15,"01/14/2026 14:34",https://www.instagram.com/stories/ino_moneycoach/3810190132956604911,"IG story",,Lifetime,5132,3667,11,0,21,0,4276,,,
18074745422525603,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/14/2026 14:31",https://www.instagram.com/stories/ino_moneycoach/3810188530715687340,"IG story",,Lifetime,4954,3941,9,0,9,1,4340,,,
18007420568830269,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"ANAはインターネットが
使えるので本当に
ありがたい😭😭😭 昨日は6時から22時くらいまで
4回飛行機に乗りました😂

一昨日は飛行機が
2時間遅延しました😂

毎日色々ありますが頑張りまふ🥹 SFC修行しながら
DMに返信していましたが
最近多くのメッセージをいただくので返信が間に合っておらず😢

申し訳ありません🙇‍♀️🙇‍♀️🙏

自分にあうクレカはどれですか？
という質問も多いね🧐",0,"01/14/2026 08:20",https://www.instagram.com/stories/ino_moneycoach/3810001963317356090,"IG story",,Lifetime,5723,4399,14,0,45,3,4432,,,1
17961203727043848,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/13/2026 17:13",https://www.instagram.com/stories/ino_moneycoach/3809545478414157581,"IG story",,Lifetime,4369,3370,9,0,21,2,3551,,,
